ERRORS,id,name,profile_id,active,version
Could not find Org__c with the ExternalId__c of '32'.,3,"""hangouts""",32,TRUE,41
Could not find Org__c with the ExternalId__c of '32'.,24,"""Welcome""",32,TRUE,14
Could not find Org__c with the ExternalId__c of '70'.,34,"""water""",70,TRUE,13
Could not find Org__c with the ExternalId__c of '32'.,35,"""Pricing""",32,TRUE,9
Could not find Org__c with the ExternalId__c of '70'.,41,"""wells""",70,TRUE,19
Could not find Org__c with the ExternalId__c of '70'.,42,"""well""",70,TRUE,1
Could not find Org__c with the ExternalId__c of '70'.,43,"""news_3_2014_water""",70,TRUE,1
Could not find Org__c with the ExternalId__c of '79'.,47,"""wells""",79,TRUE,1
Could not find Org__c with the ExternalId__c of '82'.,49,"""Perfil de Clientes""",82,TRUE,1
Could not find Org__c with the ExternalId__c of '83'.,50,"""sf""",83,TRUE,5
Could not find Org__c with the ExternalId__c of '83'.,51,"""test""",83,TRUE,10
Could not find Org__c with the ExternalId__c of '83'.,52,"""test1""",83,TRUE,1
Could not find Org__c with the ExternalId__c of '83'.,53,"""test2""",83,TRUE,1
Could not find Org__c with the ExternalId__c of '83'.,54,"""test3""",83,TRUE,2
Could not find Org__c with the ExternalId__c of '83'.,55,"""jose""",83,TRUE,6
Could not find Org__c with the ExternalId__c of '82'.,56,"""PerfilesClientes""",82,TRUE,1
Could not find Org__c with the ExternalId__c of '84'.,57,"""test""",84,TRUE,1
Could not find Org__c with the ExternalId__c of '84'.,58,"""test2""",84,TRUE,3
Could not find Org__c with the ExternalId__c of '84'.,59,"""test3""",84,TRUE,1
Could not find Org__c with the ExternalId__c of '83'.,60,"""test4""",83,TRUE,1
Could not find Org__c with the ExternalId__c of '84'.,61,"""test5""",84,TRUE,1
Could not find Org__c with the ExternalId__c of '84'.,62,"""test6""",84,TRUE,1
Could not find Org__c with the ExternalId__c of '84'.,63,"""test7""",84,TRUE,1
Could not find Org__c with the ExternalId__c of '84'.,64,"""test8""",84,TRUE,2
Could not find Org__c with the ExternalId__c of '85'.,65,"""Welcome""",85,TRUE,1
Could not find Org__c with the ExternalId__c of '85'.,66,"""armovApp""",85,TRUE,1
Could not find Org__c with the ExternalId__c of '87'.,67,"""Perfiles""",87,TRUE,1
Could not find Org__c with the ExternalId__c of '88'.,68,"""accounts""",88,TRUE,5
Could not find Org__c with the ExternalId__c of '89'.,69,"""main""",89,TRUE,11
Could not find Org__c with the ExternalId__c of '89'.,70,"""salesforce""",89,TRUE,10
Could not find Org__c with the ExternalId__c of '89'.,71,"""salesforce_simple""",89,TRUE,2
Could not find Org__c with the ExternalId__c of '89'.,72,"""salesforce_crud""",89,TRUE,4
Could not find Org__c with the ExternalId__c of '89'.,73,"""helloworld""",89,TRUE,2
Could not find Org__c with the ExternalId__c of '96'.,74,"""armova2app""",96,TRUE,1
Could not find Org__c with the ExternalId__c of '97'.,75,"""armova3app""",97,TRUE,2
Could not find Org__c with the ExternalId__c of '98'.,76,"""salesforce_simple""",98,TRUE,1
Could not find Org__c with the ExternalId__c of '99'.,77,"""salesforce_simple""",99,TRUE,1
Could not find Org__c with the ExternalId__c of '89'.,78,"""salesforce_profile""",89,TRUE,1
Could not find Org__c with the ExternalId__c of '89'.,79,"""website""",89,TRUE,36
Could not find Org__c with the ExternalId__c of '100'.,80,"""discos""",100,TRUE,1
Could not find Org__c with the ExternalId__c of '102'.,81,"""site""",102,TRUE,5
Could not find Org__c with the ExternalId__c of '102'.,82,"""helloworld""",102,TRUE,1
Could not find Org__c with the ExternalId__c of '102'.,83,"""salesforce_simple""",102,TRUE,1
Could not find Org__c with the ExternalId__c of '102'.,84,"""salesforce_crud""",102,TRUE,1
Could not find Org__c with the ExternalId__c of '139'.,85,"""site""",139,TRUE,1
Could not find Org__c with the ExternalId__c of '141'.,86,"""site""",141,TRUE,1
Could not find Org__c with the ExternalId__c of '142'.,87,"""site""",142,TRUE,1
Could not find Org__c with the ExternalId__c of '143'.,88,"""site""",143,TRUE,1
Could not find Org__c with the ExternalId__c of '146'.,89,"""site""",146,TRUE,1
Could not find Org__c with the ExternalId__c of '147'.,90,"""site""",147,TRUE,1
Could not find Org__c with the ExternalId__c of '148'.,91,"""site""",148,TRUE,1
Could not find Org__c with the ExternalId__c of '149'.,92,"""site""",149,TRUE,2
Could not find Org__c with the ExternalId__c of '150'.,93,"""site""",150,TRUE,1
Could not find Org__c with the ExternalId__c of '151'.,94,"""site""",151,TRUE,1
Could not find Org__c with the ExternalId__c of '152'.,95,"""site""",152,TRUE,7
Could not find Org__c with the ExternalId__c of '152'.,96,"""site2""",152,TRUE,1
Could not find Org__c with the ExternalId__c of '153'.,97,"""site""",153,TRUE,1
Could not find Org__c with the ExternalId__c of '154'.,98,"""site""",154,TRUE,1
Could not find Org__c with the ExternalId__c of '155'.,99,"""site""",155,TRUE,1
Could not find Org__c with the ExternalId__c of '156'.,100,"""site""",156,TRUE,1
Could not find Org__c with the ExternalId__c of '157'.,101,"""site""",157,TRUE,1
Could not find Org__c with the ExternalId__c of '157'.,102,"""site3""",157,TRUE,6
Could not find Org__c with the ExternalId__c of '158'.,103,"""site""",158,TRUE,1
Could not find Org__c with the ExternalId__c of '158'.,104,"""site2""",158,TRUE,2
Could not find Org__c with the ExternalId__c of '159'.,105,"""site""",159,TRUE,1
Could not find Org__c with the ExternalId__c of '159'.,106,"""site2""",159,TRUE,1
Could not find Org__c with the ExternalId__c of '160'.,108,"""site""",160,TRUE,1
Could not find Org__c with the ExternalId__c of '160'.,109,"""site2""",160,TRUE,1
Could not find Org__c with the ExternalId__c of '32'.,110,"""features""",32,TRUE,5
Could not find Org__c with the ExternalId__c of '162'.,111,"""site""",162,TRUE,1
Could not find Org__c with the ExternalId__c of '163'.,112,"""site""",163,TRUE,7
Could not find Org__c with the ExternalId__c of '163'.,113,"""waittimes""",163,TRUE,62
Could not find Org__c with the ExternalId__c of '97'.,114,"""armovapp3""",97,TRUE,2
Could not find Org__c with the ExternalId__c of '97'.,115,"""salesforce_simple""",97,TRUE,1
Could not find Org__c with the ExternalId__c of '166'.,116,"""site""",166,TRUE,1
Could not find Org__c with the ExternalId__c of '82'.,117,"""clientes""",82,TRUE,1
Could not find Org__c with the ExternalId__c of '82'.,118,"""cleintes2""",82,TRUE,1
Could not find Org__c with the ExternalId__c of '167'.,119,"""site""",167,TRUE,1
Could not find Org__c with the ExternalId__c of '167'.,120,"""salesforce_crud""",167,TRUE,1
Could not find Org__c with the ExternalId__c of '170'.,121,"""site""",170,TRUE,1
Could not find Org__c with the ExternalId__c of '171'.,122,"""site""",171,TRUE,1
Could not find Org__c with the ExternalId__c of '171'.,123,"""app1""",171,TRUE,2
Could not find Org__c with the ExternalId__c of '170'.,124,"""app1""",170,TRUE,1
Could not find Org__c with the ExternalId__c of '172'.,125,"""site""",172,TRUE,1
Could not find Org__c with the ExternalId__c of '171'.,126,"""salesforce_simple""",171,TRUE,1
Could not find Org__c with the ExternalId__c of '87'.,127,"""parsesimple""",87,TRUE,1
Could not find Org__c with the ExternalId__c of '166'.,128,"""site2""",166,TRUE,1
Could not find Org__c with the ExternalId__c of '166'.,129,"""zesite""",166,TRUE,1
Could not find Org__c with the ExternalId__c of '171'.,130,"""app10""",171,TRUE,1
Could not find Org__c with the ExternalId__c of '176'.,131,"""site""",176,TRUE,1
Could not find Org__c with the ExternalId__c of '180'.,132,"""site""",180,TRUE,1
Could not find Org__c with the ExternalId__c of '181'.,133,"""site""",181,TRUE,1
Could not find Org__c with the ExternalId__c of '182'.,134,"""site""",182,TRUE,1
Could not find Org__c with the ExternalId__c of '188'.,135,"""site""",188,TRUE,1
Could not find Org__c with the ExternalId__c of '188'.,136,"""test""",188,TRUE,1
Could not find Org__c with the ExternalId__c of '190'.,137,"""site""",190,TRUE,3
Could not find Org__c with the ExternalId__c of '190'.,138,"""play""",190,TRUE,1
Could not find Org__c with the ExternalId__c of '191'.,139,"""site""",191,TRUE,1
Could not find Org__c with the ExternalId__c of '192'.,140,"""site""",192,TRUE,1
Could not find Org__c with the ExternalId__c of '192'.,141,"""salesforce_crud""",192,TRUE,4
Could not find Org__c with the ExternalId__c of '32'.,142,"""salesforce""",32,TRUE,9
Could not find Org__c with the ExternalId__c of '89'.,143,"""salesforce_multi""",89,TRUE,5
Could not find Org__c with the ExternalId__c of '195'.,144,"""site""",195,TRUE,1
Could not find Org__c with the ExternalId__c of '195'.,145,"""app3""",195,TRUE,2
Could not find Org__c with the ExternalId__c of '195'.,146,"""salesforce_crud""",195,TRUE,4
Could not find Org__c with the ExternalId__c of '196'.,147,"""site""",196,TRUE,1
Could not find Org__c with the ExternalId__c of '197'.,148,"""site""",197,TRUE,1
Could not find Org__c with the ExternalId__c of '204'.,149,"""site""",204,TRUE,1
Could not find Org__c with the ExternalId__c of '206'.,150,"""site""",206,TRUE,1
Could not find Org__c with the ExternalId__c of '206'.,151,"""salesforce_crud""",206,TRUE,2
Could not find Org__c with the ExternalId__c of '195'.,152,"""app3-2""",195,TRUE,1
Could not find Org__c with the ExternalId__c of '195'.,153,"""multiplatform""",195,TRUE,5
Could not find Org__c with the ExternalId__c of '195'.,154,"""featuresnew""",195,TRUE,1
Could not find Org__c with the ExternalId__c of '32'.,155,"""multiplatform""",32,TRUE,5
Could not find Org__c with the ExternalId__c of '89'.,156,"""salesforce_mobile""",89,TRUE,1
Could not find Org__c with the ExternalId__c of '207'.,157,"""site""",207,TRUE,1
Could not find Org__c with the ExternalId__c of '208'.,158,"""site""",208,TRUE,1
Could not find Org__c with the ExternalId__c of '208'.,159,"""salesforce_crud""",208,TRUE,4
Could not find Org__c with the ExternalId__c of '70'.,160,"""miami""",70,TRUE,6
Could not find Org__c with the ExternalId__c of '209'.,161,"""tester""",209,TRUE,1
Could not find Org__c with the ExternalId__c of '210'.,162,"""site""",210,TRUE,1
Could not find Org__c with the ExternalId__c of '89'.,163,"""miami""",89,TRUE,2
Could not find Org__c with the ExternalId__c of '211'.,164,"""site""",211,TRUE,1
Could not find Org__c with the ExternalId__c of '211'.,165,"""miami""",211,TRUE,1
Could not find Org__c with the ExternalId__c of '212'.,166,"""site""",212,TRUE,1
Could not find Org__c with the ExternalId__c of '213'.,167,"""site""",213,TRUE,1
Could not find Org__c with the ExternalId__c of '213'.,168,"""miami""",213,TRUE,1
Could not find Org__c with the ExternalId__c of '32'.,170,"""gomiami""",32,TRUE,5
Could not find Org__c with the ExternalId__c of '214'.,171,"""site""",214,TRUE,1
Could not find Org__c with the ExternalId__c of '214'.,172,"""miami""",214,TRUE,1
Could not find Org__c with the ExternalId__c of '89'.,173,"""multiplatform""",89,TRUE,1
Could not find Org__c with the ExternalId__c of '215'.,174,"""site""",215,TRUE,1
Could not find Org__c with the ExternalId__c of '215'.,175,"""route""",215,TRUE,1
Could not find Org__c with the ExternalId__c of '215'.,176,"""teresa""",215,TRUE,4
Could not find Org__c with the ExternalId__c of '215'.,177,"""adonde""",215,TRUE,7
Could not find Org__c with the ExternalId__c of '215'.,178,"""como""",215,TRUE,2
Could not find Org__c with the ExternalId__c of '215'.,179,"""miami""",215,TRUE,4
Could not find Org__c with the ExternalId__c of '215'.,180,"""narrative""",215,TRUE,15
Could not find Org__c with the ExternalId__c of '215'.,181,"""investigacion""",215,TRUE,3
Could not find Org__c with the ExternalId__c of '215'.,182,"""consecuencias""",215,TRUE,2
Could not find Org__c with the ExternalId__c of '217'.,183,"""site""",217,TRUE,1
Could not find Org__c with the ExternalId__c of '32'.,184,"""assets""",32,TRUE,1
Could not find Org__c with the ExternalId__c of '32'.,185,"""library""",32,TRUE,2
Could not find Org__c with the ExternalId__c of '190'.,186,"""angular""",190,TRUE,28
Could not find Org__c with the ExternalId__c of '217'.,187,"""angular""",217,TRUE,5
Could not find Org__c with the ExternalId__c of '217'.,188,"""angularapp""",217,TRUE,1
Could not find Org__c with the ExternalId__c of '218'.,189,"""site""",218,TRUE,1
Could not find Org__c with the ExternalId__c of '218'.,190,"""rodriguezartav""",218,TRUE,1
Could not find Org__c with the ExternalId__c of '218'.,191,"""chicas_poderosas""",218,TRUE,1
Could not find Org__c with the ExternalId__c of '220'.,192,"""site""",220,TRUE,1
Could not find Org__c with the ExternalId__c of '220'.,193,"""angular""",220,TRUE,1
Could not find Org__c with the ExternalId__c of '220'.,194,"""teste""",220,TRUE,9
Could not find Org__c with the ExternalId__c of '89'.,195,"""angular_static""",89,TRUE,2
Could not find Org__c with the ExternalId__c of '32'.,196,"""testmoya""",32,TRUE,2
Could not find Org__c with the ExternalId__c of '197'.,197,"""angex""",197,TRUE,1
Could not find Org__c with the ExternalId__c of '32'.,198,"""angular_static""",32,TRUE,1
Could not find Org__c with the ExternalId__c of '190'.,199,"""flarens""",190,TRUE,6
Could not find Org__c with the ExternalId__c of '190'.,200,"""angular_static""",190,TRUE,4
Could not find Org__c with the ExternalId__c of '190'.,201,"""modafoka""",190,TRUE,1
Could not find Org__c with the ExternalId__c of '221'.,202,"""site""",221,TRUE,1
Could not find Org__c with the ExternalId__c of '197'.,204,"""angular_static""",197,TRUE,1
Could not find Org__c with the ExternalId__c of '190'.,205,"""smarens""",190,TRUE,1
Could not find Org__c with the ExternalId__c of '32'.,206,"""blog""",32,TRUE,9
Could not find Org__c with the ExternalId__c of '190'.,207,"""salesforce_crud""",190,TRUE,4
Could not find Org__c with the ExternalId__c of '190'.,208,"""4salesforce""",190,TRUE,3
Could not find Org__c with the ExternalId__c of '190'.,209,"""forsalesforce""",190,TRUE,3
Could not find Org__c with the ExternalId__c of '220'.,210,"""salesforce_crud""",220,TRUE,10
Could not find Org__c with the ExternalId__c of '190'.,211,"""test""",190,TRUE,3
Could not find Org__c with the ExternalId__c of '190'.,212,"""test_multi""",190,TRUE,1
Could not find Org__c with the ExternalId__c of '221'.,213,"""itodo""",221,TRUE,1
Could not find Org__c with the ExternalId__c of '190'.,214,"""gstart""",190,TRUE,40
Could not find Org__c with the ExternalId__c of '190'.,215,"""gstart_mobile""",190,TRUE,1
Could not find Org__c with the ExternalId__c of '222'.,216,"""site""",222,TRUE,1
Could not find Org__c with the ExternalId__c of '222'.,217,"""aa""",222,TRUE,1
Could not find Org__c with the ExternalId__c of '225'.,218,"""site""",225,TRUE,1
Could not find Org__c with the ExternalId__c of '225'.,219,"""salesforce_crud""",225,TRUE,2
Could not find Org__c with the ExternalId__c of '226'.,220,"""site""",226,TRUE,1
Could not find Org__c with the ExternalId__c of '226'.,221,"""myfirstapp""",226,TRUE,1
Could not find Org__c with the ExternalId__c of '221'.,222,"""itodo1""",221,TRUE,1
Could not find Org__c with the ExternalId__c of '190'.,223,"""maisuma""",190,TRUE,4
Could not find Org__c with the ExternalId__c of '32'.,224,"""clayhome""",32,TRUE,1
Could not find Org__c with the ExternalId__c of '228'.,225,"""welcome""",228,TRUE,1
Could not find Org__c with the ExternalId__c of '32'.,226,"""clay""",32,TRUE,31
Could not find Org__c with the ExternalId__c of '229'.,227,"""site""",229,TRUE,1
Could not find Org__c with the ExternalId__c of '229'.,228,"""salesforce_crud""",229,TRUE,4
Could not find Org__c with the ExternalId__c of '229'.,229,"""myapp""",229,TRUE,4
Could not find Org__c with the ExternalId__c of '82'.,230,"""mascercadelcliente""",82,TRUE,5
Could not find Org__c with the ExternalId__c of '190'.,231,"""angular_integrate""",190,TRUE,2
Could not find Org__c with the ExternalId__c of '230'.,232,"""site""",230,TRUE,1
Could not find Org__c with the ExternalId__c of '32'.,233,"""silicon""",32,TRUE,7
Could not find Org__c with the ExternalId__c of '230'.,234,"""tutorial""",230,TRUE,4
Could not find Org__c with the ExternalId__c of '231'.,235,"""site""",231,TRUE,1
Could not find Org__c with the ExternalId__c of '231'.,236,"""test1""",231,TRUE,1
Could not find Org__c with the ExternalId__c of '231'.,237,"""test2""",231,TRUE,1
Could not find Org__c with the ExternalId__c of '231'.,238,"""test5""",231,TRUE,1
Could not find Org__c with the ExternalId__c of '231'.,239,"""test6""",231,TRUE,1
Could not find Org__c with the ExternalId__c of '163'.,240,"""gardens""",163,TRUE,72
Could not find Org__c with the ExternalId__c of '82'.,241,"""proformasespeciales""",82,TRUE,1
Could not find Org__c with the ExternalId__c of '190'.,242,"""first""",190,TRUE,2
Could not find Org__c with the ExternalId__c of '222'.,243,"""teste""",222,TRUE,5
Could not find Org__c with the ExternalId__c of '222'.,244,"""first""",222,TRUE,3
Could not find Org__c with the ExternalId__c of '222'.,245,"""firstapp""",222,TRUE,2
Could not find Org__c with the ExternalId__c of '222'.,246,"""myfirstapp""",222,TRUE,5
Could not find Org__c with the ExternalId__c of '32'.,247,"""gstart""",32,TRUE,16
Could not find Org__c with the ExternalId__c of '222'.,248,"""salesforce_crud""",222,TRUE,12
Could not find Org__c with the ExternalId__c of '32'.,249,"""landing""",32,TRUE,23
Could not find Org__c with the ExternalId__c of '232'.,250,"""site""",232,TRUE,1
Could not find Org__c with the ExternalId__c of '232'.,251,"""salesforce_crud""",232,TRUE,3
Could not find Org__c with the ExternalId__c of '89'.,252,"""clay_single_platform""",89,TRUE,16
Could not find Org__c with the ExternalId__c of '89'.,253,"""clay_multi_platform""",89,TRUE,3
Could not find Org__c with the ExternalId__c of '89'.,254,"""clay_simple""",89,TRUE,3
Could not find Org__c with the ExternalId__c of '89'.,255,"""clay_simple_2""",89,TRUE,1
Could not find Org__c with the ExternalId__c of '233'.,256,"""app1""",233,TRUE,1
Could not find Org__c with the ExternalId__c of '233'.,257,"""app2""",233,TRUE,1
Could not find Org__c with the ExternalId__c of '234'.,258,"""app1""",234,TRUE,1
Could not find Org__c with the ExternalId__c of '235'.,259,"""single_platform""",235,TRUE,2
Could not find Org__c with the ExternalId__c of '236'.,260,"""single_platform""",236,TRUE,1
Could not find Org__c with the ExternalId__c of '89'.,261,"""multi_platform""",89,TRUE,3
Could not find Org__c with the ExternalId__c of '32'.,262,"""post_how_fusion_gardens""",32,TRUE,27
Could not find Org__c with the ExternalId__c of '32'.,263,"""temp""",32,TRUE,1
Could not find Org__c with the ExternalId__c of '32'.,264,"""temp2""",32,TRUE,3
Could not find Org__c with the ExternalId__c of '32'.,265,"""temp3""",32,TRUE,1
Could not find Org__c with the ExternalId__c of '222'.,266,"""righttest""",222,TRUE,3
Could not find Org__c with the ExternalId__c of '232'.,267,"""simple""",232,TRUE,3
Could not find Org__c with the ExternalId__c of '240'.,268,"""opp_creator""",240,TRUE,3
Could not find Org__c with the ExternalId__c of '32'.,269,"""vivaelmenu""",32,TRUE,15
